#%VMNAME;MAC              ;IP            ;CPU;MEM;DISK;ROLE;MASTER;SERVERNUM;INVSTRING

#KUBE
kubec1n1;52:54:00:1c:76:00;192.168.122.31;2;5120;30;KUBEMASTERS;kubec1n1;1;KUBE-KUBEMASTERS-kubec1n1
kubec1n2;52:54:00:e0:2b:b8;192.168.122.32;2;5120;30;KUBEWORKERS;kubec1n1;2;KUBE-KUBEWORKERS-kubec1n2
kubec1n3;52:54:00:8e:9f:f7;192.168.122.33;2;5120;30;KUBEWORKERS;kubec1n1;3;KUBE-KUBEWORKERS-kubec1n3

#MESOS
mesosc1n1;52:54:00:c6:9c:7c;192.168.122.21;2;5120;30;MESOSMASTERS;mesosc1n1;1;MESOS-MESOSMASTERS-mesosc1n1
mesosc1n2;52:54:00:4a:36:c2;192.168.122.22;2;5120;30;MESOSWORKERS;mesosc1n1;2;MESOS-MESOSWORKERS-mesosc1n2
mesosc1n3;52:54:00:08:7a:f5;192.168.122.23;2;5120;30;MESOSWORKERS;mesosc1n1;3;MESOS-MESOSWORKERS-mesosc1n3

#OKD
okdc1n1;52:54:00:b0:29:2a;192.168.122.11;2;4096;30;OKDMASTER;okdc1n1;1;OKD-OKDMASTER-okdc1n1
okdc1n2;52:54:00:dc:7b:01;192.168.122.12;2;4096;30;OKDWORKER;okdc1n1;2;OKD-OKDWORKER-okdc1n2
okdc1n3;52:54:00:d6:0f:a7;192.168.122.13;2;4096;30;OKDWORKER;okdc1n1;3;OKD-OKDWORKER-okdc1n3

#ELK
elk1;52:54:00:d1:11:01;192.168.122.41;2;8192;30;ELKMASTERS;elk1;1;ELK-ELKMASTERS-elk1
elk2;52:54:00:d1:12:02;192.168.122.42;2;8192;30;ELKMASTERS;elk1;2;ELK-ELKMASTERS-elk2
elk3;52:54:00:d1:13:03;192.168.122.43;2;8192;30;ELKMASTERS;elk1;3;ELK-ELKMASTERS-elk3

